iter	RMSE
0	0.5085171748
1	0.5049607582
2	0.501774295
3	0.4986496578
4	0.4958659028
5	0.4929364767
6	0.4908330655
7	0.4880933582
8	0.485983727
9	0.4838411348
10	0.4818748298
11	0.480099672
12	0.4782378382
13	0.476542391
14	0.4752876381
15	0.47376277
16	0.4723956741
17	0.4712668982
18	0.4702093071
19	0.4688356252
20	0.4675927963
21	0.4666657504
22	0.4656299118
23	0.4649728401
24	0.4639263459
25	0.4631411132
26	0.4622262693
27	0.4613220733
28	0.4607329711
29	0.4601211953
30	0.4596035645
31	0.4588514107
32	0.4583874205
33	0.4579808126
34	0.4575471066
35	0.4571195704
36	0.4564560228
37	0.455923306
38	0.4552508181
39	0.4548610577
40	0.4543068538
41	0.4538828564
42	0.4536279817
43	0.4532495504
44	0.4529438847
45	0.452504783
46	0.4521641378
47	0.4518792885
48	0.4515525192
49	0.4512428737
50	0.4509722348
51	0.4507020693
52	0.4503922135
53	0.4501987787
54	0.4498215941
55	0.4493998134
56	0.4489040782
57	0.4486033019
58	0.4480974085
59	0.4478450685
60	0.4474492911
61	0.4471538293
62	0.4469033994
63	0.4466611693
64	0.4464256661
65	0.4463901326
66	0.4460391144
67	0.4455715966
68	0.4453908576
69	0.4452173686
70	0.4451130159
71	0.4448304502
72	0.4446532841
73	0.4444952584
74	0.4443102152
75	0.4440524116
76	0.4438801981
77	0.4436662874
78	0.4433473621
79	0.4431014819
80	0.4427756622
81	0.4425895779
82	0.442388583
83	0.4421017711
84	0.4418036304
85	0.4416863813
86	0.4415703637
87	0.4414171622
88	0.441241733
89	0.4411409521
90	0.4408248734
91	0.440573415
92	0.4404231218
93	0.4402814511
94	0.4400439415
95	0.4397717035
96	0.4396393438
97	0.439473503
98	0.4393415787
99	0.4391556879
100	0.4389637683
101	0.4387762563
102	0.4385460822
103	0.4384128831
104	0.438289265
105	0.4380531006
106	0.4379035182
107	0.4376606618
108	0.4374895694
109	0.4372834621
110	0.4370063408
111	0.4367438422
112	0.4365169872
113	0.4364326096
114	0.4361172621
115	0.4357617586
116	0.4355519828
117	0.4353553812
118	0.435083814
119	0.4349746149
120	0.4347508609
121	0.4346694878
122	0.4344044221
123	0.4341470177
124	0.4339357879
125	0.433845345
126	0.4336394133
127	0.4335048275
128	0.4333898477
129	0.4332589634
130	0.4328805754
131	0.4328181604
132	0.4325610459
133	0.4323401057
134	0.4323101674
135	0.4321588998
136	0.4320446909
137	0.4319227437
138	0.4318183405
139	0.4316192597
140	0.4314940978
141	0.4312996465
142	0.43103228
143	0.4309076425
144	0.4307160096
145	0.4305527111
146	0.4302493838
147	0.4301567103
148	0.4299825328
149	0.429782566
150	0.4296178866
151	0.429378333
152	0.4292567651
153	0.4290956316
154	0.4288386231
155	0.4287252731
156	0.4286127435
157	0.4284312689
158	0.4282418239
