iter	Passed	Remaining
0	143	143081
1	146	72998
2	149	49596
3	152	37911
4	155	30896
5	158	26203
6	160	22804
7	163	20298
8	166	18354
9	169	16794
10	172	15514
11	177	14614
12	180	13681
13	183	12895
14	185	12208
15	188	11617
16	191	11087
17	194	10618
18	197	10193
19	200	9814
20	203	9471
21	205	9155
22	208	8872
23	211	8612
24	214	8374
25	217	8152
26	220	7941
27	223	7750
28	226	7575
29	229	7408
30	232	7256
31	235	7110
32	237	6966
33	240	6834
34	243	6704
35	245	6579
36	248	6470
37	251	6364
38	254	6265
39	257	6173
40	260	6085
41	263	6004
42	266	5920
43	268	5841
44	271	5767
45	274	5701
46	278	5637
47	280	5570
48	283	5510
49	286	5449
50	289	5392
51	292	5340
52	295	5287
53	300	5263
54	303	5217
55	307	5176
56	310	5135
57	313	5093
58	316	5052
59	319	5004
60	322	4968
61	326	4933
62	329	4894
63	331	4855
64	335	4824
65	338	4794
66	342	4762
67	345	4736
68	348	4703
69	352	4676
70	355	4648
71	358	4619
72	361	4593
73	364	4566
74	368	4544
75	371	4520
76	375	4500
77	380	4492
78	383	4470
79	387	4452
80	391	4440
81	396	4433
82	399	4411
83	403	4395
84	406	4377
85	410	4359
86	413	4342
87	416	4321
88	420	4304
89	424	4291
90	427	4272
91	431	4256
92	434	4234
93	437	4215
94	440	4197
95	443	4177
96	446	4158
97	449	4139
98	452	4119
99	455	4102
100	458	4082
101	461	4065
102	464	4049
103	468	4032
104	470	4014
105	473	3997
106	476	3980
107	479	3963
108	482	3945
109	485	3928
110	488	3914
111	491	3899
112	494	3884
113	498	3871
114	501	3858
115	504	3845
116	507	3830
117	510	3817
118	513	3802
119	516	3789
120	519	3775
121	522	3762
122	525	3747
123	528	3734
124	531	3721
125	534	3708
126	537	3694
127	540	3681
128	543	3666
129	545	3652
130	548	3637
131	550	3622
132	553	3609
133	557	3603
134	560	3590
135	563	3580
136	566	3568
137	569	3556
138	572	3544
139	575	3533
140	578	3522
141	580	3510
142	583	3497
143	586	3488
144	589	3477
145	592	3467
146	596	3458
147	598	3447
148	601	3436
149	604	3425
150	607	3415
151	610	3405
152	613	3395
153	616	3386
154	619	3377
155	622	3367
156	625	3358
157	628	3348
158	631	3340
159	634	3332
160	637	3323
161	640	3313
162	643	3306
163	647	3299
164	650	3291
165	653	3282
166	656	3273
167	659	3265
168	662	3257
169	665	3248
170	667	3238
171	670	3228
172	673	3219
173	676	3210
174	679	3201
175	681	3192
176	684	3183
177	687	3174
178	690	3165
179	692	3156
180	695	3147
181	698	3138
182	700	3129
183	703	3120
184	706	3111
185	708	3102
186	711	3093
187	714	3084
188	716	3075
189	719	3066
190	721	3057
191	724	3048
192	726	3039
193	729	3030
194	732	3022
195	734	3014
196	737	3007
197	740	2998
198	743	2991
199	745	2983
200	748	2976
201	750	2964
202	752	2955
203	755	2947
204	758	2940
205	761	2933
206	763	2926
207	766	2919
208	769	2911
209	771	2903
210	774	2896
211	777	2889
212	780	2882
213	782	2874
214	785	2867
215	788	2860
216	790	2852
217	793	2845
218	796	2842
219	799	2834
220	801	2825
221	804	2819
222	807	2812
223	809	2805
224	812	2798
225	815	2791
226	817	2785
227	820	2779
228	823	2772
229	826	2766
230	828	2759
231	831	2752
232	834	2746
233	836	2739
234	839	2733
235	842	2727
236	845	2722
237	848	2717
238	851	2711
239	854	2705
240	857	2699
241	859	2692
242	862	2686
243	865	2680
244	868	2674
245	870	2669
246	873	2663
247	876	2658
248	879	2651
249	881	2645
250	884	2639
251	887	2633
252	890	2627
253	892	2622
254	895	2616
255	898	2610
256	901	2605
257	903	2599
258	906	2592
259	908	2586
260	911	2580
261	914	2574
262	916	2569
263	919	2563
264	922	2557
265	924	2552
266	927	2546
267	929	2539
268	932	2534
269	935	2529
270	938	2524
271	941	2519
272	944	2514
273	947	2509
274	949	2503
275	952	2498
276	954	2492
277	957	2487
278	960	2482
279	963	2477
280	966	2472
281	968	2467
282	971	2462
283	974	2457
284	977	2452
285	980	2447
286	983	2442
287	985	2437
288	988	2432
289	991	2427
290	994	2423
291	997	2418
292	1000	2413
293	1003	2408
294	1006	2404
295	1009	2400
296	1012	2395
297	1014	2390
298	1017	2385
299	1020	2381
300	1023	2377
301	1026	2372
302	1029	2367
303	1032	2362
304	1035	2358
305	1038	2354
306	1041	2350
307	1044	2346
308	1047	2342
309	1050	2338
310	1053	2333
311	1056	2328
312	1059	2324
313	1062	2320
314	1065	2316
315	1068	2311
316	1070	2307
317	1073	2302
318	1076	2298
319	1079	2294
320	1082	2290
321	1085	2286
322	1088	2281
323	1091	2276
324	1094	2272
325	1097	2268
326	1099	2263
327	1102	2259
328	1105	2254
329	1108	2250
330	1111	2245
331	1113	2241
332	1116	2236
333	1119	2232
334	1122	2227
335	1124	2222
336	1127	2218
337	1130	2213
338	1133	2209
339	1135	2204
340	1138	2200
341	1141	2196
342	1144	2192
343	1147	2187
344	1149	2183
345	1152	2178
346	1155	2174
347	1158	2170
348	1160	2165
349	1163	2161
350	1166	2157
351	1169	2153
352	1172	2149
353	1175	2145
354	1178	2140
355	1181	2136
356	1184	2132
357	1187	2129
358	1190	2125
359	1192	2120
360	1195	2116
361	1198	2112
362	1201	2108
363	1204	2104
364	1207	2100
365	1210	2096
366	1213	2092
367	1216	2088
368	1219	2084
369	1221	2080
370	1224	2076
371	1227	2072
372	1230	2068
373	1233	2064
374	1236	2060
375	1239	2056
376	1242	2052
377	1244	2048
378	1247	2044
379	1250	2040
380	1253	2036
381	1256	2033
382	1259	2028
383	1262	2024
384	1265	2021
385	1268	2017
386	1271	2013
387	1274	2009
388	1276	2005
389	1279	2001
390	1282	1997
391	1285	1993
392	1287	1988
393	1290	1984
394	1293	1980
395	1295	1976
396	1298	1972
397	1301	1968
398	1304	1964
399	1307	1961
400	1310	1957
401	1313	1954
402	1316	1950
403	1319	1946
404	1322	1943
405	1325	1939
406	1328	1935
407	1331	1931
408	1333	1927
409	1336	1923
410	1339	1920
411	1342	1915
412	1345	1911
413	1348	1908
414	1350	1904
415	1353	1900
416	1356	1896
417	1359	1893
418	1362	1889
419	1365	1885
420	1368	1881
421	1370	1877
422	1373	1873
423	1376	1869
424	1379	1866
425	1382	1863
426	1385	1859
427	1388	1856
428	1391	1852
429	1394	1849
430	1398	1845
431	1401	1842
432	1403	1838
433	1406	1834
434	1409	1830
435	1412	1827
436	1415	1823
437	1418	1820
438	1421	1816
439	1424	1813
440	1428	1810
441	1431	1806
442	1433	1802
443	1436	1799
444	1439	1795
445	1442	1792
446	1445	1788
447	1449	1785
448	1452	1782
449	1455	1778
450	1458	1775
451	1461	1771
452	1464	1768
453	1467	1765
454	1470	1761
455	1474	1758
456	1477	1754
457	1479	1751
458	1483	1747
459	1486	1744
460	1489	1740
461	1491	1737
462	1494	1733
463	1497	1729
464	1500	1725
465	1503	1722
466	1506	1719
467	1509	1715
468	1512	1711
469	1515	1708
470	1517	1704
471	1520	1701
472	1523	1697
473	1526	1693
474	1529	1690
475	1532	1686
476	1535	1683
477	1537	1679
478	1540	1675
479	1543	1671
480	1545	1668
481	1548	1664
482	1551	1661
483	1554	1657
484	1557	1653
485	1559	1649
486	1562	1645
487	1565	1642
488	1567	1638
489	1570	1634
490	1573	1631
491	1576	1627
492	1579	1624
493	1582	1620
494	1584	1616
495	1587	1613
496	1590	1609
497	1592	1605
498	1595	1602
499	1598	1598
500	1601	1595
501	1604	1592
502	1607	1588
503	1610	1585
504	1613	1581
505	1617	1578
506	1620	1575
507	1623	1572
508	1626	1568
509	1628	1565
510	1631	1561
511	1634	1557
512	1637	1554
513	1640	1550
514	1642	1547
515	1645	1543
516	1648	1539
517	1650	1536
518	1653	1532
519	1656	1528
520	1658	1525
521	1661	1521
522	1664	1517
523	1666	1514
524	1669	1510
525	1672	1507
526	1675	1503
527	1677	1499
528	1680	1496
529	1683	1492
530	1686	1489
531	1689	1485
532	1691	1482
533	1694	1478
534	1697	1475
535	1700	1472
536	1703	1468
537	1706	1465
538	1708	1461
539	1711	1458
540	1714	1454
541	1717	1451
542	1720	1448
543	1724	1445
544	1727	1442
545	1730	1438
546	1733	1435
547	1736	1432
548	1739	1428
549	1742	1425
550	1745	1422
551	1748	1418
552	1751	1415
553	1754	1412
554	1757	1409
555	1760	1405
556	1763	1402
557	1766	1399
558	1769	1395
559	1772	1392
560	1775	1389
561	1778	1386
562	1781	1383
563	1784	1379
564	1787	1376
565	1790	1373
566	1794	1370
567	1796	1366
568	1800	1363
569	1803	1360
570	1805	1356
571	1808	1353
572	1811	1349
573	1813	1346
574	1816	1342
575	1819	1339
576	1821	1335
577	1824	1332
578	1827	1328
579	1830	1325
580	1833	1322
581	1836	1318
582	1838	1315
583	1841	1311
584	1844	1308
585	1847	1304
586	1849	1301
587	1852	1298
588	1855	1294
589	1858	1291
590	1861	1287
591	1863	1284
592	1866	1281
593	1869	1277
594	1872	1274
595	1875	1271
596	1877	1267
597	1880	1264
598	1883	1260
599	1886	1257
600	1889	1254
601	1891	1250
602	1894	1247
603	1896	1243
604	1899	1240
605	1902	1236
606	1905	1233
607	1907	1230
608	1910	1226
609	1913	1223
610	1916	1219
611	1918	1216
612	1921	1213
613	1924	1209
614	1926	1206
615	1929	1202
616	1932	1199
617	1935	1196
618	1938	1192
619	1940	1189
620	1943	1186
621	1946	1182
622	1949	1179
623	1951	1176
624	1954	1172
625	1957	1169
626	1960	1166
627	1963	1162
628	1966	1159
629	1969	1156
630	1971	1153
631	1975	1150
632	1978	1147
633	1981	1143
634	1984	1140
635	1987	1137
636	1989	1133
637	1992	1130
638	1996	1127
639	1998	1124
640	2001	1121
641	2004	1117
642	2007	1114
643	2009	1110
644	2012	1107
645	2015	1104
646	2017	1100
647	2020	1097
648	2023	1094
649	2025	1090
650	2028	1087
651	2031	1084
652	2034	1080
653	2037	1077
654	2039	1074
655	2042	1071
656	2045	1067
657	2048	1064
658	2051	1061
659	2053	1058
660	2056	1054
661	2059	1051
662	2062	1048
663	2064	1044
664	2067	1041
665	2069	1038
666	2072	1034
667	2075	1031
668	2078	1028
669	2081	1025
670	2083	1021
671	2086	1018
672	2089	1015
673	2091	1011
674	2094	1008
675	2097	1005
676	2100	1002
677	2103	998
678	2105	995
679	2108	992
680	2111	988
681	2113	985
682	2116	982
683	2118	978
684	2121	975
685	2123	972
686	2126	968
687	2128	965
688	2131	962
689	2133	958
690	2136	955
691	2139	952
692	2141	948
693	2144	945
694	2147	942
695	2150	939
696	2152	935
697	2155	932
698	2158	929
699	2161	926
700	2164	923
701	2167	920
702	2170	917
703	2173	913
704	2176	910
705	2178	907
706	2181	904
707	2184	900
708	2186	897
709	2189	894
710	2192	891
711	2194	887
712	2197	884
713	2200	881
714	2202	878
715	2205	874
716	2207	871
717	2210	868
718	2213	864
719	2215	861
720	2218	858
721	2221	855
722	2224	852
723	2226	848
724	2228	845
725	2231	842
726	2234	839
727	2236	835
728	2239	832
729	2242	829
730	2245	826
731	2247	823
732	2250	819
733	2253	816
734	2256	813
735	2258	810
736	2261	807
737	2264	803
738	2266	800
739	2269	797
740	2271	794
741	2274	790
742	2277	787
743	2280	784
744	2283	781
745	2285	778
746	2288	775
747	2291	772
748	2294	768
749	2297	765
750	2300	762
751	2302	759
752	2305	756
753	2308	753
754	2311	750
755	2314	746
756	2316	743
757	2319	740
758	2322	737
759	2324	734
760	2327	730
761	2329	727
762	2332	724
763	2335	721
764	2337	718
765	2340	714
766	2342	711
767	2345	708
768	2348	705
769	2351	702
770	2353	699
771	2356	696
772	2359	692
773	2362	689
774	2365	686
775	2367	683
776	2370	680
777	2373	677
778	2375	673
779	2378	670
780	2381	667
781	2384	664
782	2387	661
783	2389	658
784	2392	655
785	2395	652
786	2398	649
787	2400	645
788	2403	642
789	2405	639
790	2408	636
791	2411	633
792	2413	630
793	2416	626
794	2419	623
795	2421	620
796	2424	617
797	2427	614
798	2429	611
799	2432	608
800	2435	604
801	2437	601
802	2440	598
803	2443	595
804	2445	592
805	2448	589
806	2450	586
807	2453	583
808	2456	580
809	2459	576
810	2462	573
811	2465	570
812	2467	567
813	2470	564
814	2473	561
815	2476	558
816	2478	555
817	2481	552
818	2484	549
819	2487	545
820	2489	542
821	2492	539
822	2495	536
823	2498	533
824	2501	530
825	2503	527
826	2506	524
827	2509	521
828	2511	518
829	2514	515
830	2517	511
831	2519	508
832	2522	505
833	2525	502
834	2527	499
835	2530	496
836	2533	493
837	2536	490
838	2538	487
839	2541	484
840	2544	481
841	2547	477
842	2549	474
843	2552	471
844	2555	468
845	2557	465
846	2560	462
847	2563	459
848	2566	456
849	2568	453
850	2571	450
851	2574	447
852	2577	444
853	2580	441
854	2583	438
855	2585	435
856	2588	431
857	2591	428
858	2594	425
859	2596	422
860	2599	419
861	2602	416
862	2605	413
863	2607	410
864	2610	407
865	2613	404
866	2615	401
867	2618	398
868	2621	395
869	2623	392
870	2626	388
871	2629	385
872	2631	382
873	2634	379
874	2636	376
875	2639	373
876	2642	370
877	2645	367
878	2647	364
879	2650	361
880	2653	358
881	2655	355
882	2658	352
883	2661	349
884	2664	346
885	2666	343
886	2669	340
887	2671	337
888	2674	333
889	2677	330
890	2680	327
891	2682	324
892	2685	321
893	2688	318
894	2691	315
895	2693	312
896	2696	309
897	2699	306
898	2702	303
899	2705	300
900	2707	297
901	2710	294
902	2713	291
903	2716	288
904	2718	285
905	2721	282
906	2724	279
907	2726	276
908	2729	273
909	2732	270
910	2735	267
911	2739	264
912	2743	261
913	2745	258
914	2748	255
915	2751	252
916	2753	249
917	2756	246
918	2759	243
919	2761	240
920	2764	237
921	2767	234
922	2770	231
923	2773	228
924	2775	225
925	2778	222
926	2781	219
927	2784	216
928	2787	213
